Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price €,Class Info,Flight URL
15:55,18:45,CMN,JFK,direct,7h 50min,Royal Air Maroc,898.0,ÉconomiqueeDreams,https://www.kayak.fr/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5267337&pid=eDreamsBrandedBrand_FSR_fr_FR&prv=eDreamsBrandedBrand_FSR_fr_FR&srch=XlEiIMDuac&ploc=fr_FR&atype=SponsoredResult&prc=898.00&cpnid=7091703&xpExt=&aidExt=&lid=eDreamsBrandedBrand_FSR_fr_FR-XlEiIMDuac&qorig=Airport:CMN&octid=&qdest=Airport:JFK&qstart=1714104000000&qend=1714363200000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=15830&qdac=JFK&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=01vTsbtKLSPvRAoJ4TTJyg%3D%3D&ah=d9_U$1o4rfDLZM5UUitfxSR_KLV9XXO$vs_rGM425Qw&resid=db06dbd5deae6e543592379d0ebb5b4b&bookid=F2709172983926778243E0c11470ff6b&seekProv=EDREAMSAIR&trueProv=EDREAMSAIR&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5zlPAeFX615CYLhsjrW3w-RHLYd_SRlFbtd0JppUJoHvBVu4DUAb3EEfadizaaD&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=vEvlAK2E3og%3D&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
15:55,18:45,CMN,JFK,direct,7h 50min,Royal Air Maroc,882.0,Économique,https://www.kayak.fr/book/flight?code=XlEiIMDuac.tYUOhBwwtNbTYwQ_VUUUMA.95333.db06dbd5deae6e543592379d0ebb5b4b&h=ec1710cf3e1e&sub=F-4137658077922805451E00bdfadc699&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,British Airways,570.0,Économique standard,https://www.kayak.fr/book/flight?code=XlEiIMDuac.ZpbE3-UY8hoNUvH8T-y68A.61551.0b37de0a905ba53981c2e72027a5c97c&h=08166ded4810&sub=F7801891069853200189E0eff58510c7&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,British Airways,691.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlEiIMDuac.MYf-feaT15w.74689.111493263b9d1935ff308f6ce1eb4ca7&h=a53494025ee7&sub=F-387439553758821341E0f30af19159&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
15:55,18:45,CMN,JFK,direct,7h 50min,American Airlines,1396.0,Main Cabin,https://www.kayak.fr/book/flight?code=XlEiIMDuac.sIt2B02c_IY.150810.40da853c68f81893ba53f992eecb99a2&h=bfe81e1f82cc&sub=F6917194607543249974E0997abd1ed9&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
15:55,18:45,CMN,JFK,direct,7h 50min,Finnair,1436.0,Economy Superlight,https://www.kayak.fr/book/flight?code=XlEiIMDuac.tYUOhBwwtNbTYwQ_VUUUMA.155214.1d2ec900375cbf148eca89f29b1d3ad9&h=bf772f601325&sub=F-4137658077439746130E00687854ee5&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
15:55,18:45,CMN,JFK,direct,7h 50min,British Airways,1402.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlEiIMDuac.Xn8KWCj2yGDPlYb-lPvZjw.151537.5caf376fd2e84cf75f78f8054034c4b4&h=f01c6a328e58&sub=F-4871440937230045612E0d3a952eb9d&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
15:55,18:45,CMN,JFK,direct,7h 50min,"British Airways, Royal Air Maroc",1649.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlEiIMDuac.Xn8KWCj2yGDPlYb-lPvZjw.178235.8a2b632678500790ea32c818bf2b35c1&h=c872b0bfc1ad&sub=F-4871440937000456106E015a153c99a&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,"British Airways, Iberia",926.0,"Économique standard, Basic",https://www.kayak.fr/book/flight?code=XlEiIMDuac.SraQfAsTxU_BDARZyLA7ng.100073.902568d597d61aa0963ca50759009ea6&h=66598d3496f8&sub=F-1918399155115580332E0670f4fdac8&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
13:40,21:55,CMN,JFK,1 escaleLHR,13h 15min,"British Airways, Iberia",1040.0,"Économique standard, Basic",https://www.kayak.fr/book/flight?code=XlEiIMDuac.SraQfAsTxU_BDARZyLA7ng.112395.912c7190782abca1108fb0e92f711523&h=b64172747555&sub=F-1918399157965490918E046f568b2a3&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11
